species,seed_mass
SOLSPE,NA
SORNUT,1.9438
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SORNUT,NA
SPAPEC,26.91
SPOHET,1.828
SYMNOV,0.6596
TAROFF,0.682793103
THADAS,2.363333333
THADAS,2.363333333
TOXRAD,16.92153846
TRAOHI,3.608
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRAOHI,NA
TRIFLA,1.022
TRIARV,0.441421053
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIARV,NA
TRIPRA,1.625952381
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIPRA,NA
TRIREP,0.562466667
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIREP,NA
TRIPER,0.03
ULMPUM,6.216583333
URTDIO,0.111571429
VERTHA,0.091266667
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERTHA,NA
VERHAS,0.2302
VERSTR,1.030454545
VERNONIA,0.985714286
VERONICA,0.215392209
VERVIR,0.065714286
VIOLA,1.5876375
VITIS,57.6125
ZIZAPT,1.591428571
ZIZAUR,2.314285714
,5.94978802
